"","District","comunidad","total_pob","var_women_read","var_men_read"
"1","CIUDAD DEL CERRO","C.CIUDAD DEL CERRO",579,0.412103746397695,0.587896253602305
"2","CIUDAD DEL CERRO","VICO",72,0.531914893617021,0.468085106382979
"3","CIUDAD DEL CERRO","RANCA",50,1,0
"4","CIUDAD DEL CERRO","PASCO",50,0.531914893617021,0.468085106382979
"5","CIUDAD DEL CERRO",NA,100,0.55421686746988,0.44578313253012
"6","CIUDAD DEL CERRO","CAICO",208,0.513157894736842,0.486842105263158
"7","CIUDAD DEL CERRO","H.SAN ANDRÉS",NA,0.531914893617021,0.468085106382979
"8","JAUJA","P.JAUJA",842,0.547979797979798,0.452020202020202
"9","JAUJA","A.HUERTAS",250,0.735483870967742,0.264516129032258
"10","JAUJA","MASMA",329,0.633620689655172,0.366379310344828
"11","JAUJA","ATAURA",188,0.548148148148148,0.451851851851852
"12","JAUJA","HUALÁ",103,0.557377049180328,0.442622950819672
"13","JAUJA","JULCÁN",NA,0.72258064516129,0.27741935483871
"14","JAUJA","P.RICRÁN",248,0.549019607843137,0.450980392156863
"15","JAUJA","A.PAUCÁN",188,0.589928057553957,0.410071942446043
"16","ACOLLA","P.ACOLLA",360,0.531986531986532,0.468013468013468
"17","ACOLLA","MARCO",177,0.468531468531469,0.531468531468531
"18","ACOLLA","TRAGADERO",172,0.607843137254902,0.392156862745098
"19","CONCEPCIÓN","P.CONCEPCIÓN",423,0.556291390728477,0.443708609271523
"20","CONCEPCIÓN","SANTA ROSA DE OCOPA",248,0.631016042780749,0.368983957219251
"21","CONCEPCIÓN","HUANTAR",91,0.709090909090909,0.290909090909091
"22","SAN GERÓNIMO","P.SAN GERÓNIMO",577,0.606413994169096,0.393586005830904
"23","SAN GERÓNIMO","SAN PEDRO DE SAÑO",162,0.647619047619048,0.352380952380952
"24","SAN GERÓNIMO","QUICHUAY",150,0.620689655172414,0.379310344827586
"25","SAN GERÓNIMO","CASACANCHA",74,0.620689655172414,0.379310344827586
"26","SAN GERÓNIMO","A.INGENIO",176,0.609375,0.390625
"27","SAN GERÓNIMO","P.SANTA CRUZ DE QUILCAY",226,0.5,0.5
"28","TARMA","P.TARMA",1037,0.581105169340463,0.418894830659537
"29","TARMA","MULLUERO",212,0.462365591397849,0.537634408602151
"30","TARMA",NA,133,0.6,0.4
"31","TARMA","CHANCHA",236,0.466346153846154,0.533653846153846
"32","OROYA","P.OROYA",96,0.365384615384615,0.634615384615385
"33","OROYA","HUAYHUAY",109,0.618181818181818,0.381818181818182
